,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
160,2023-06-08,,,,0.0,2651484,0.0,0.0
161,2023-06-09,,,,0.0,2517468,0.0,0.0
162,2023-06-10,,,,0.0,3823376,0.0,0.0
163,2023-06-11,,,,0.0,2077014,0.0,0.0
164,2023-06-12,,,,0.0,2366623,0.0,0.0
165,2023-06-13,,,,0.0,2353117,0.0,0.0
166,2023-06-14,,,,0.0,2158803,0.0,0.0
167,2023-06-15,,,,0.0,2516860,0.0,0.0
168,2023-06-16,,,,0.0,2663546,0.0,0.0
169,2023-06-17,,,,0.0,2420454,0.0,0.0
170,2023-06-18,,,,0.0,2133980,0.0,0.0
171,2023-06-19,,,,0.0,2287455,0.0,0.0
172,2023-06-20,,,,0.0,2005562,0.0,0.0
173,2023-06-21,,,,0.0,2418730,0.0,0.0
174,2023-06-22,,,,0.0,2149878,0.0,0.0
175,2023-06-23,,,,0.0,4161173,0.0,0.0
176,2023-06-24,,,,0.0,6318553,0.0,0.0
177,2023-06-25,,,,0.0,3478869,0.0,0.0
178,2023-06-26,,,,0.0,2071507,0.0,0.0
179,2023-06-27,,,,0.0,1667513,0.0,0.0
180,2023-06-28,,,,0.0,2565948,0.0,0.0
181,2023-06-29,,,,0.0,2563192,0.0,0.0
182,2023-06-30,,,,0.0,2564025,0.0,0.0
183,2023-07-01,,,,0.0,1598788,0.0,0.0
184,2023-07-02,,,,0.0,1593530,0.0,0.0
185,2023-07-03,,,,0.0,1508761,0.0,0.0
186,2023-07-04,,,,0.0,1454814,0.0,0.0
187,2023-07-05,,,,0.0,1277601,0.0,0.0
188,2023-07-06,,,,0.0,1955270,0.0,0.0
189,2023-07-07,,,,0.0,1871999,0.0,0.0
190,2023-07-08,,,,0.0,2117981,0.0,0.0
191,2023-07-09,,,,0.0,1784000,0.0,0.0
192,2023-07-10,,,,0.0,1955513,0.0,0.0
193,2023-07-11,,,,0.0,2569060,0.0,0.0
194,2023-07-12,,,,0.0,2069077,0.0,0.0
195,2023-07-13,,,,0.0,3465546,0.0,0.0
196,2023-07-14,,,,0.0,4203503,0.0,0.0
197,2023-07-15,,,,0.0,2899135,0.0,0.0
198,2023-07-16,,,,0.0,2236345,0.0,0.0
199,2023-07-17,,,,0.0,1817254,0.0,0.0
200,2023-07-18,,,,0.0,2209788,0.0,0.0
201,2023-07-19,,,,0.0,2604746,0.0,0.0
202,2023-07-20,,,,0.0,3360341,0.0,0.0
203,2023-07-21,,,,0.0,2714335,0.0,0.0
204,2023-07-22,,,,0.0,3284236,0.0,0.0
205,2023-07-23,,,,0.0,3910501,0.0,0.0
206,2023-07-24,,,,0.0,3432586,0.0,0.0
207,2023-07-25,,,,0.0,2655810,0.0,0.0
208,2023-07-26,,,,0.0,3629142,0.0,0.0
209,2023-07-27,,,,0.0,3441384,0.0,0.0
210,2023-07-28,,,,0.0,2992980,0.0,0.0
211,2023-07-29,,,,0.0,2722157,0.0,0.0
212,2023-07-30,,,,0.0,2468268,0.0,0.0
213,2023-07-31,,,,0.0,2920219,0.0,0.0
214,2023-08-01,,,,0.0,3208835,0.0,0.0
215,2023-08-02,,,,0.0,3909034,0.0,0.0
216,2023-08-03,,,,0.0,2967174,0.0,0.0
217,2023-08-04,,,,0.0,2764371,0.0,0.0
218,2023-08-05,,,,0.0,2300698,0.0,0.0
219,2023-08-06,,,,0.0,2326721,0.0,0.0
220,2023-08-07,,,,0.0,4032168,0.0,0.0
