id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,3193284136,38,3181390614,105120081,1.0,0.999323,0.0007089,0.07094,-9882406.755522251,-0.30852,3193097667.889292,3181204840.378637,,1.22,-17.96392,2020-03-13T03:02:50.373Z,0.88196,13.37963,2023-03-11T07:50:50.514Z,,2025-04-02T13:45:41.982Z,0.028856166941733617,0.07093645565877442,0.0035532417564274016
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.6,3110549329,39,3224872300,175784186,2.69,2.52,-0.028212604398988095,-1.07425,-33183297.317161083,-1.05554,1199000741.0,1243067982.0,,20.44,-87.3085,2022-01-16T22:09:45.873Z,0.526762,392.42375,2020-11-04T16:09:15.137Z,,2025-04-02T13:45:37.840Z,0.5018917434231168,-1.0742503509308245,-14.527725548533924
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,7.39e-06,3108382936,40,3108382936,822944866,7.82e-06,7.31e-06,-2.2093858686e-07,-2.90448,-88601873.10397625,-2.77142,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-73.70352,2024-12-09T16:30:35.828Z,5.5142e-08,13266.17028,2023-04-18T02:14:41.591Z,,2025-04-02T13:45:38.736Z,0.02375985891616492,-2.9044826114337288,-17.866341467638037
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.046,2975844009,41,2975730515,2470511,1.048,1.043,0.00049825,0.04765,551081.0,0.01852,2843966248.222829,2843857784.058149,,1.088,-3.83824,2025-02-03T02:31:35.208Z,0.961716,8.7803,2025-01-04T01:21:08.460Z,,2025-04-02T13:45:41.320Z,-0.009441728730022846,0.047647416171238,-0.19171680356060591
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,47.65,2855586033,42,11229957843,5889749,48.6,47.28,-0.6521385144037524,-1.35019,-39746392.39740515,-1.37277,60000000.0,235957685.3,300000000.0,73.8,-35.44044,2024-03-14T00:30:12.502Z,0.580608,8106.41749,2019-01-14T00:00:00.000Z,,2025-04-02T13:45:37.105Z,-0.13295620983517226,-1.3501897681893427,-5.611419465650487
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,85394.0,2830435635,43,2830435635,265180604,85523.0,82626.0,1717.82,2.05294,84907934.0,3.09259,33164.16972654,33164.16972654,,108953.0,-22.31776,2025-01-20T09:20:53.854Z,57439.0,47.35171,2024-09-12T14:07:41.775Z,,2025-04-02T13:45:40.544Z,0.5528353537691612,2.052942397719236,-2.7794909691372554
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.103,2816415966,44,10004454530,67142994,0.108782,0.099869,0.00108217,1.0618,17054329.0,0.60922,27427430062.81465,97427539211.96498,,0.965407,-89.34266,2021-11-24T15:53:54.855Z,0.0121196,748.92844,2019-02-08T00:00:00.000Z,,2025-04-02T13:45:41.154Z,-0.3155639896185634,1.0618022418964428,-3.441255659317345
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,22.53,2764976866,45,6748751877,9248766,22.97,22.4,-0.04021277924300648,-0.17814,-9463957.264657497,-0.34111,122910587.76765741,300000000.0,,25.94,-13.24551,2025-01-25T03:07:37.823Z,0.25754,8637.90285,2020-03-13T02:18:02.481Z,,2025-04-02T13:45:34.191Z,0.02128226530421916,-0.17813712416558192,-5.758047993629966
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,34.4,2746774157,46,3433639419,20206465,34.48,33.34,0.893136,2.66582,66020122.0,2.46274,79995999.05112354,100000000.0,100000000.0,50.43,-31.74122,2025-01-03T19:12:43.038Z,0.111255,30841.45224,2019-04-28T00:00:00.000Z,"{'times': 117.40405968252755, 'currency': 'usd', 'percentage': 11740.405968252753}",2025-04-02T13:45:41.997Z,0.4238357589682702,2.6658183371407196,-3.8650139210042593
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.791962,2662901972,47,4922120429,150677985,0.803654,0.781282,0.00056986,0.07201,2511799.0,0.09441,3364694382.83684,6219316794.99,6219316794.99,1.54,-48.61737,2024-04-08T09:45:25.482Z,0.307978,156.7172,2023-10-18T02:50:46.942Z,,2025-04-02T13:45:39.052Z,0.1739088844301514,0.07200783597825457,-6.668282249112008
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.837286,2636083025,48,8344391576,171850916,0.838638,0.793793,0.02963254,3.66897,84462124.0,3.31014,3159107529.0,10000000000.0,10000000000.0,2.14,-61.01362,2024-12-16T00:36:00.777Z,0.082171,915.40648,2024-01-18T12:14:30.524Z,,2025-04-02T13:45:39.169Z,1.8603223886496378,3.668966169987351,-11.812554535327413
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.999318,2600768718,49,2600768718,5248147640,1.004,0.992982,0.00097207,0.09737,38186853.0,1.49017,2601315490.167816,2601315490.167816,,1.15,-13.20331,2025-02-03T02:30:49.959Z,0.940377,6.26785,2024-12-05T22:30:51.394Z,,2025-04-02T13:45:34.858Z,0.14905131611857772,0.0973684212673168,0.08915981001791824
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.27,2538350644,50,2795646164,61605042,5.57,5.22,-0.13746413680223846,-2.54098,-65911553.55344725,-2.53091,482186310.3226773,531062291.2259642,,700.65,-99.24784,2021-05-10T16:05:53.653Z,2.87,83.9426,2023-09-22T00:29:57.369Z,,2025-04-02T13:45:35.344Z,0.20177829642482378,-2.540983823237582,-16.250572575508123
